harvest_measurement_id:r2,experiment_name,plot_name,plot_side,block,harvest_name,date,year,system_code,plant_part,crop,measurement_amount,measurement_name,measurement_unit
77,century,7_4,E,2,summer,1996-08-28,1996,TR,red_fruit,solanum_lycopersicum,71.614,fresh_wt,tonnes/ha
78,century,7_4,W,2,summer,1996-08-28,1996,TR,red_fruit,solanum_lycopersicum,74.653,fresh_wt,tonnes/ha
79,century,8_9,E,3,summer,1996-08-23,1996,CMT,red_fruit,solanum_lycopersicum,47.71,fresh_wt,tonnes/ha
80,century,8_9,W,3,summer,1996-08-23,1996,CMT,red_fruit,solanum_lycopersicum,50.813,fresh_wt,tonnes/ha
81,century,1_2,E,1,summer,1997-08-22,1997,OMT,red_fruit,solanum_lycopersicum,51.123,fresh_wt,tonnes/ha
82,century,1_2,W,1,summer,1997-08-22,1997,OMT,red_fruit,solanum_lycopersicum,47.209,fresh_wt,tonnes/ha
83,century,1_4,E,1,summer,1997-08-15,1997,CMT,red_fruit,solanum_lycopersicum,39.388,fresh_wt,tonnes/ha
84,century,1_4,W,1,summer,1997-08-15,1997,CMT,red_fruit,solanum_lycopersicum,41.463,fresh_wt,tonnes/ha
85,century,1_5,E,1,summer,1997-08-14,1997,CWT,red_fruit,solanum_lycopersicum,77.77,fresh_wt,tonnes/ha
86,century,1_5,W,1,summer,1997-08-14,1997,CWT,red_fruit,solanum_lycopersicum,80.523,fresh_wt,tonnes/ha
87,century,2_4,E,1,summer,1997-08-15,1997,LMT,red_fruit,solanum_lycopersicum,53.812,fresh_wt,tonnes/ha
88,century,2_4,W,1,summer,1997-08-15,1997,LMT,red_fruit,solanum_lycopersicum,61.308,fresh_wt,tonnes/ha
89,century,4_3,E,2,summer,1997-08-14,1997,CWT,red_fruit,solanum_lycopersicum,70.385,fresh_wt,tonnes/ha
90,century,4_3,W,2,summer,1997-08-14,1997,CWT,red_fruit,solanum_lycopersicum,68.28,fresh_wt,tonnes/ha
91,century,4_4,E,2,summer,1997-08-14,1997,LMT,red_fruit,solanum_lycopersicum,62.321,fresh_wt,tonnes/ha
92,century,4_4,W,2,summer,1997-08-14,1997,LMT,red_fruit,solanum_lycopersicum,67.774,fresh_wt,tonnes/ha
93,century,5_4,E,2,summer,1997-08-22,1997,UN,red_fruit,solanum_lycopersicum,70.096,fresh_wt,tonnes/ha
94,century,5_4,W,2,summer,1997-08-22,1997,UN,red_fruit,solanum_lycopersicum,67.772,fresh_wt,tonnes/ha
95,century,5_5,E,2,summer,1997-08-22,1997,CMT,red_fruit,solanum_lycopersicum,71.34,fresh_wt,tonnes/ha
96,century,5_5,W,2,summer,1997-08-22,1997,CMT,red_fruit,solanum_lycopersicum,68.588,fresh_wt,tonnes/ha
97,century,6_5,E,2,summer,1997-08-22,1997,OMT,red_fruit,solanum_lycopersicum,51.6,fresh_wt,tonnes/ha
98,century,6_5,W,2,summer,1997-08-22,1997,OMT,red_fruit,solanum_lycopersicum,50.898,fresh_wt,tonnes/ha
99,century,6_9,E,3,summer,1997-08-14,1997,LMT,red_fruit,solanum_lycopersicum,56.655,fresh_wt,tonnes/ha
100,century,6_9,W,3,summer,1997-08-14,1997,LMT,red_fruit,solanum_lycopersicum,59.899,fresh_wt,tonnes/ha
101,century,7_8,E,3,summer,1997-08-14,1997,CMT,red_fruit,solanum_lycopersicum,56.798,fresh_wt,tonnes/ha
102,century,7_8,W,3,summer,1997-08-14,1997,CMT,red_fruit,solanum_lycopersicum,50.261,fresh_wt,tonnes/ha
103,century,7_9,E,3,summer,1997-08-14,1997,CWT,red_fruit,solanum_lycopersicum,74.387,fresh_wt,tonnes/ha
104,century,7_9,W,3,summer,1997-08-14,1997,CWT,red_fruit,solanum_lycopersicum,79.108,fresh_wt,tonnes/ha
105,century,8_8,E,3,summer,1997-08-22,1997,OMT,red_fruit,solanum_lycopersicum,68.742,fresh_wt,tonnes/ha
106,century,8_8,W,3,summer,1997-08-22,1997,OMT,red_fruit,solanum_lycopersicum,71.836,fresh_wt,tonnes/ha
107,century,1_1,E,1,summer,1998-08-18,1998,LMT,red_fruit,solanum_lycopersicum,57.987,fresh_wt,tonnes/ha
108,century,1_1,W,1,summer,1998-08-18,1998,LMT,red_fruit,solanum_lycopersicum,54.728,fresh_wt,tonnes/ha
